nom;x_min;y_min;x_max;y_max;url;fichier_brut;gid
1830_5151_08_IR_CC46.tif;1830000;5151000;1831000;5152000;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/GeoTiff_YcBcR/1km_8cm_CC46/1830_5151_08_IR_CC46.tif;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/tif/1km_8cm_CC46/1830_5151_08_IR_CC46.tif;1
1830_5152_08_IR_CC46.tif;1830000;5152000;1831000;5153000;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/GeoTiff_YcBcR/1km_8cm_CC46/1830_5152_08_IR_CC46.tif;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/tif/1km_8cm_CC46/1830_5152_08_IR_CC46.tif;2
1830_5153_08_IR_CC46.tif;1830000;5153000;1831000;5154000;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/GeoTiff_YcBcR/1km_8cm_CC46/1830_5153_08_IR_CC46.tif;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/tif/1km_8cm_CC46/1830_5153_08_IR_CC46.tif;3
1830_5154_08_IR_CC46.tif;1830000;5154000;1831000;5155000;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/GeoTiff_YcBcR/1km_8cm_CC46/1830_5154_08_IR_CC46.tif;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/tif/1km_8cm_CC46/1830_5154_08_IR_CC46.tif;4
1830_5155_08_IR_CC46.tif;1830000;5155000;1831000;5156000;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/GeoTiff_YcBcR/1km_8cm_CC46/1830_5155_08_IR_CC46.tif;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/tif/1km_8cm_CC46/1830_5155_08_IR_CC46.tif;5
1830_5156_08_IR_CC46.tif;1830000;5156000;1831000;5157000;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/GeoTiff_YcBcR/1km_8cm_CC46/1830_5156_08_IR_CC46.tif;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/tif/1km_8cm_CC46/1830_5156_08_IR_CC46.tif;6
1830_5157_08_IR_CC46.tif;1830000;5157000;1831000;5158000;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/GeoTiff_YcBcR/1km_8cm_CC46/1830_5157_08_IR_CC46.tif;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/tif/1km_8cm_CC46/1830_5157_08_IR_CC46.tif;7
1830_5158_08_IR_CC46.tif;1830000;5158000;1831000;5159000;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/GeoTiff_YcBcR/1km_8cm_CC46/1830_5158_08_IR_CC46.tif;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/tif/1km_8cm_CC46/1830_5158_08_IR_CC46.tif;8
1830_5159_08_IR_CC46.tif;1830000;5159000;1831000;5160000;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/GeoTiff_YcBcR/1km_8cm_CC46/1830_5159_08_IR_CC46.tif;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/tif/1km_8cm_CC46/1830_5159_08_IR_CC46.tif;9
1830_5160_08_IR_CC46.tif;1830000;5160000;1831000;5161000;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/GeoTiff_YcBcR/1km_8cm_CC46/1830_5160_08_IR_CC46.tif;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/tif/1km_8cm_CC46/1830_5160_08_IR_CC46.tif;10
1830_5161_08_IR_CC46.tif;1830000;5161000;1831000;5162000;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/GeoTiff_YcBcR/1km_8cm_CC46/1830_5161_08_IR_CC46.tif;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/tif/1km_8cm_CC46/1830_5161_08_IR_CC46.tif;11
1830_5162_08_IR_CC46.tif;1830000;5162000;1831000;5163000;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/GeoTiff_YcBcR/1km_8cm_CC46/1830_5162_08_IR_CC46.tif;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/tif/1km_8cm_CC46/1830_5162_08_IR_CC46.tif;12
1830_5163_08_IR_CC46.tif;1830000;5163000;1831000;5164000;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/GeoTiff_YcBcR/1km_8cm_CC46/1830_5163_08_IR_CC46.tif;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/tif/1km_8cm_CC46/1830_5163_08_IR_CC46.tif;13
1830_5164_08_IR_CC46.tif;1830000;5164000;1831000;5165000;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/GeoTiff_YcBcR/1km_8cm_CC46/1830_5164_08_IR_CC46.tif;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/tif/1km_8cm_CC46/1830_5164_08_IR_CC46.tif;14
1830_5165_08_IR_CC46.tif;1830000;5165000;1831000;5166000;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/GeoTiff_YcBcR/1km_8cm_CC46/1830_5165_08_IR_CC46.tif;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/tif/1km_8cm_CC46/1830_5165_08_IR_CC46.tif;15
1830_5166_08_IR_CC46.tif;1830000;5166000;1831000;5167000;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/GeoTiff_YcBcR/1km_8cm_CC46/1830_5166_08_IR_CC46.tif;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/tif/1km_8cm_CC46/1830_5166_08_IR_CC46.tif;16
1830_5167_08_IR_CC46.tif;1830000;5167000;1831000;5168000;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/GeoTiff_YcBcR/1km_8cm_CC46/1830_5167_08_IR_CC46.tif;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/tif/1km_8cm_CC46/1830_5167_08_IR_CC46.tif;17
1830_5168_08_IR_CC46.tif;1830000;5168000;1831000;5169000;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/GeoTiff_YcBcR/1km_8cm_CC46/1830_5168_08_IR_CC46.tif;https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/tif/1km_8cm_CC46/1830_5168_08_IR_CC46.tif;18
